P2P: Waiting for activation ...;
P2P: X: 0.0, Y: 0.0, Z: 0.0;
P2P: [RSSI: -55 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -55 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -55 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -55 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -55 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -56 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -55 dBm] Message from CF nr. 3, 0.0 , 0.0, 0.0  ;
P2P: [RSSI: -56 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -56 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -55 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -56 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -56 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -56 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -67 dBm] Message from CF nr. 3, 0.0 , 0.0, 0.0  ;
P2P: [RSSI: -64 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -58 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -61 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -56 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -62 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -58 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
P2P: [RSSI: -67 dBm] Message from CF nr. 3, 0.0 , 0.0, 512.0  ;
